Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
15,Ragnar Ache,de,FW,DF,Eint Frankfurt,Bundesliga,22,1998,1.1,1,2,1,50.0,1.80,0.90,0.50,1.00,13.7,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
16,Marcos Acuña,ar,DF,,Sevilla,La Liga,28,1991,25.9,1,18,2,11.1,0.70,0.08,0.06,0.50,20.5,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
17,Che Adams,sct,FW,,Southampton,Premier League,24,1996,29.6,9,55,31,56.4,1.86,1.05,0.16,0.29,13.8,0,0,0,9.8,9.8,0.18,-0.8,-0.8,Matches
18,Tyler Adams,us,MF,DF,RB Leipzig,Bundesliga,21,1999,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,17.6,0,0,0,1.3,1.3,0.19,-0.3,-0.3,Matches
19,Sargis Adamyan,am,FW,MF,Hoffenheim,Bundesliga,27,1993,5.3,2,23,7,30.4,4.32,1.32,0.09,0.29,15.3,0,0,0,2.1,2.1,0.10,-0.1,-0.1,Matches
20,Tosin Adarabioyo,eng,DF,,Fulham,Premier League,22,1997,32.8,0,18,5,27.8,0.55,0.15,0.00,0.00,10.5,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
21,Bobby Adekanye,nl,FW,MF,Cádiz,La Liga,21,1999,0.4,0,1,0,0.0,2.50,0.00,0.00,,17.1,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
22,Yacine Adli,fr,MF,,Bordeaux,Ligue 1,20,2000,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,20.0,1,0,0,1.9,1.9,0.08,+0.1,+0.1,Matches
23,Andrea Adorante,it,FW,,Parma,Serie A,20,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
24,Adrián,es,GK,,Liverpool,Premier League,33,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Martin Agirregabiria,es,DF,MF,Alavés,La Liga,24,1996,17.3,0,2,0,0.0,0.12,0.00,0.00,,15.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
26,Lucien Agoume,fr,MF,,Spezia,Serie A,18,2002,8.9,0,2,0,0.0,0.23,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
27,Felix Agu,de,DF,,Werder Bremen,Bundesliga,20,1999,7.8,1,4,1,25.0,0.51,0.13,0.25,1.00,19.3,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches
28,Kevin Agudelo,co,FW,,Spezia,Serie A,21,1998,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,17.2,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
29,Nayef Aguerd,ma,DF,,Rennes,Ligue 1,24,1996,35.0,3,28,6,21.4,0.80,0.17,0.11,0.50,10.1,0,0,0,3.2,3.2,0.12,-0.2,-0.2,Matches
30,Sergio Agüero,ar,FW,,Manchester City,Premier League,32,1988,6.2,4,17,10,58.8,2.74,1.61,0.18,0.30,14.6,0,1,2,3.5,1.9,0.11,+0.5,+1.1,Matches
31,Ruben Aguilar,fr,DF,MF,Monaco,Ligue 1,27,1993,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,11.0,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
32,Naouirou Ahamada,fr,MF,,Stuttgart,Bundesliga,18,2002,2.8,0,5,1,20.0,1.79,0.36,0.00,0.00,23.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
33,Matteo Ahlinvi,bj,MF,,Nîmes,Ligue 1,21,1999,10.0,2,12,7,58.3,1.20,0.70,0.17,0.29,22.5,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
