Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
695,Thibault De Smet,be,DF,Reims,Ligue 1,26,1998,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
696,Koni De Winter,be,DF,Genoa,it Serie A,22,2002,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
697,Alessandro Deiola,it,MF,Cagliari,it Serie A,29,1995,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
698,Romain Del Castillo,fr,FW,Brest,Ligue 1,28,1996,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
699,Tommaso Del Lungo,it,DF,Atalanta,it Serie A,21,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
700,Enrico Del Prato,it,DF,Parma,it Serie A,25,1999,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
701,Liam Delap,eng,FW,Ipswich Town,Premier League,21,2003,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
702,Fisayo Dele-Bashiru,ng,MF,Lazio,it Serie A,23,2001,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
703,Alessandro Dellavalle,it,DF,Torino,it Serie A,20,2004,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
704,Adam Delplace,fr,GK,Lens,Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
705,Olivier Deman,be,DF,Werder Bremen,Bundesliga,24,2000,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
706,Ali Dembélé,fr,DF,Torino,it Serie A,20,2004,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
707,Ousmane Dembélé,fr,FW,Paris S-G,Ligue 1,27,1997,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
708,Ermedin Demirović,ba,FW,Stuttgart,Bundesliga,26,1998,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
709,Sepp van den Berg,nl,DF,Brentford,Premier League,22,2001,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
710,Will Dennis,eng,GK,Bournemouth,Premier League,24,2000,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
711,Rémy Descamps,fr,GK,Lyon,Ligue 1,28,1996,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
712,Arthur Desmas,fr,GK,Le Havre,Ligue 1,30,1994,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
