Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
36,Nayef Aguerd,ma,DF,,West Ham,Premier League,26,1996,17.7,14,0.79,12,1,0,1,0,0,0,0.00,12,1,0,1,0,0
37,Ruben Aguilar,fr,DF,,Monaco,Ligue 1,29,1993,13.0,18,1.38,14,1,0,1,1,1,2,0.15,14,1,0,1,1,1
38,Naouirou Ahamada,fr,MF,FW,Crystal Palace,Premier League,20,2002,1.0,2,1.91,1,0,0,1,0,0,0,0.00,1,0,0,1,0,0
39,Naouirou Ahamada,fr,MF,,Stuttgart,Bundesliga,20,2002,15.5,38,2.45,31,0,3,2,1,1,7,0.45,31,0,3,2,1,1
40,Amar Ahmed,se,FW,,Troyes,Ligue 1,18,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Jean-Eudes Aholou,ci,MF,,Strasbourg,Ligue 1,28,1994,14.4,28,1.94,21,1,0,1,2,3,2,0.14,21,1,0,1,2,3
42,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,26,1995,34.7,10,0.29,8,0,0,1,0,1,0,0.00,8,0,0,1,0,1
43,Ola Aina,ng,DF,,Torino,Serie A,25,1996,9.7,27,2.77,21,2,3,0,1,0,3,0.31,21,2,3,0,1,0
44,Rayan Aït-Nouri,dz,DF,,Wolves,Premier League,21,2001,12.0,23,1.93,14,2,4,1,2,0,0,0.00,14,2,4,1,2,0
45,Emanuel Aiwum,at,DF,,Cremonese,Serie A,21,2000,18.4,11,0.60,11,0,0,0,0,0,0,0.00,11,0,0,0,0,0
46,Kristoffer Ajer,no,DF,,Brentford,Premier League,24,1998,8.5,4,0.47,4,0,0,0,0,0,0,0.00,4,0,0,0,0,0
47,Ludovic Ajorque,fr,FW,,Strasbourg,Ligue 1,28,1994,8.6,22,2.57,20,0,0,2,0,0,2,0.23,20,0,0,2,0,0
48,Ludovic Ajorque,fr,FW,MF,Mainz 05,Bundesliga,28,1994,13.5,34,2.53,26,0,0,5,3,0,3,0.22,26,0,0,5,3,0
49,Manuel Akanji,ch,DF,,Manchester City,Premier League,27,1995,25.4,23,0.91,22,0,0,1,0,0,0,0.00,22,0,0,1,0,0
50,Nathan Aké,nl,DF,,Manchester City,Premier League,27,1995,20.8,24,1.15,20,1,0,2,0,1,2,0.10,20,1,0,2,0,1
51,Sergio Akieme,es,DF,,Almería,La Liga,24,1997,25.5,36,1.41,29,1,1,3,0,2,3,0.12,29,1,1,3,0,2
52,Babatunde Akinsola,ng,FW,,Valladolid,La Liga,19,2003,0.1,1,8.18,0,0,0,0,1,0,0,0.00,0,0,0,0,1,0
53,Maghnes Akliouche,fr,MF,FW,Monaco,Ligue 1,20,2002,4.5,9,2.01,9,0,0,0,0,0,0,0.00,9,0,0,0,0,0
54,Paul Akouokou,ci,MF,DF,Betis,La Liga,24,1997,5.0,2,0.40,0,0,0,2,0,0,0,0.00,0,0,0,2,0,0
55,Jean-Daniel Akpa-Akpro,ci,MF,FW,Empoli,Serie A,29,1992,15.1,28,1.86,18,0,3,2,2,3,5,0.33,18,0,3,2,2,3
56,Kevin Akpoguma,ng,DF,,Hoffenheim,Bundesliga,27,1995,21.7,17,0.79,14,0,3,0,0,0,1,0.05,14,0,3,0,0,0
57,David Alaba,at,DF,,Real Madrid,La Liga,30,1992,20.4,27,1.32,23,3,0,1,0,0,4,0.20,23,3,0,1,0,0
58,Ángel Alarcón,es,FW,MF,Barcelona,La Liga,18,2004,0.3,1,3.46,0,0,0,0,1,0,0,0.00,0,0,0,0,1,0
59,Tomás Alarcón,cl,MF,,Cádiz,La Liga,23,1999,2.5,4,1.61,2,1,0,0,1,0,0,0.00,2,1,0,0,1,0
60,Lucas Alario,ar,FW,MF,Eint Frankfurt,Bundesliga,29,1992,3.7,8,2.17,6,0,1,1,0,0,2,0.54,6,0,1,1,0,0
61,Jordi Alba,es,DF,,Barcelona,La Liga,33,1989,15.8,59,3.74,52,5,1,1,0,0,6,0.38,52,5,1,1,0,0
62,Luis Alberto,es,MF,,Lazio,Serie A,29,1992,27.1,115,4.24,80,30,0,4,0,1,15,0.55,80,30,0,4,0,1
63,Raúl Albiol,es,DF,,Villarreal,La Liga,36,1985,23.5,12,0.51,12,0,0,0,0,0,0,0.00,12,0,0,0,0,0
64,Marc Albrighton,eng,FW,MF,Leicester City,Premier League,32,1989,2.6,7,2.66,5,2,0,0,0,0,0,0.00,5,2,0,0,0,0
65,Thiago Alcántara,es,MF,,Liverpool,Premier League,31,1991,13.9,40,2.87,33,0,3,1,1,2,2,0.14,33,0,3,1,1,2
66,Carlos Alcaraz,ar,MF,FW,Southampton,Premier League,19,2002,11.4,22,1.92,14,0,2,3,2,1,4,0.35,14,0,2,3,2,1
67,Rubén Alcaraz,es,MF,,Cádiz,La Liga,31,1991,22.7,47,2.07,34,9,1,1,2,0,2,0.09,34,9,1,1,2,0
68,Omar Alderete,py,DF,,Getafe,La Liga,25,1996,22.7,24,1.06,22,0,0,2,0,0,3,0.13,22,0,0,2,0,0
