Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
135,Marco Asensio,es,FW,MF,Paris S-G,Ligue 1,28,1996,6.8,34,5.02,26,1,2,5,0,0,7,1.03,26,1,2,5,0,0,Matches
136,Kristjan Asllani,al,MF,,Inter,Serie A,22,2002,3.1,9,2.86,6,3,0,0,0,0,1,0.32,6,3,0,0,0,0,Matches
137,Iago Aspas,es,FW,MF,Celta Vigo,La Liga,37,1987,13.4,44,3.28,37,1,2,2,2,0,8,0.60,37,1,2,2,2,0,Matches
138,Yaser Asprilla,co,FW,MF,Girona,La Liga,21,2003,6.4,27,4.20,22,4,1,0,0,0,5,0.78,22,4,1,0,0,0,Matches
139,Lorenz Assignon,tg,DF,MF,Rennes,Ligue 1,24,2000,9.5,19,2.00,14,5,0,0,0,0,3,0.32,14,5,0,0,0,0,Matches
140,Dehmaine Assoumani,fr,MF,FW,Nantes,Ligue 1,19,2005,0.4,5,11.25,4,1,0,0,0,0,0,0.00,4,1,0,0,0,0,Matches
141,Valentin Atangana Edoa,fr,MF,,Reims,Ligue 1,19,2005,13.7,24,1.75,17,0,2,1,2,2,1,0.07,17,0,2,1,2,2,Matches
142,Arthur Atta,fr,MF,,Udinese,Serie A,21,2003,1.4,2,1.45,2,0,0,0,0,0,0,0.00,2,0,0,0,0,0,Matches
143,Noah Atubolu,de,GK,,Freiburg,Bundesliga,22,2002,12.0,5,0.42,5,0,0,0,0,0,0,0.00,5,0,0,0,0,0,Matches
144,Emil Audero,it,GK,,Como,Serie A,27,1997,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Tommaso Augello,it,DF,,Cagliari,Serie A,30,1994,12.7,33,2.61,22,10,1,0,0,0,2,0.16,22,10,1,0,0,0,Matches
146,Carlos Augusto,br,DF,,Inter,Serie A,25,1999,3.2,2,0.62,0,1,0,0,1,0,0,0.00,0,1,0,0,1,0,Matches
147,Yann Aurel Bisseck,de,DF,,Inter,Serie A,24,2000,6.8,7,1.04,6,0,0,1,0,0,1,0.15,6,0,0,1,0,0,Matches
148,Ezequiel Ávila,ar,FW,,Betis,La Liga,30,1994,6.4,29,4.55,22,0,1,2,4,0,3,0.47,22,0,1,2,4,0,Matches
149,Taiwo Awoniyi,ng,FW,,Nott'ham Forest,Premier League,27,1997,2.3,4,1.76,3,0,0,0,1,0,0,0.00,3,0,0,0,1,0,Matches
