Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
2316,Amine Salama,fr,FW,Reims,Ligue 1,23,2000,3.5,73,70,3,0,0,0,5,1,0,0,0,0,48,0,4
2317,Kike Salas,es,DF,Sevilla,La Liga,21,2002,17.8,1009,951,54,23,2,4,7,31,0,0,0,0,794,4,13
2318,William Saliba,fr,DF,Arsenal,Premier League,22,2001,38.0,2851,2794,55,33,3,2,3,7,0,0,0,0,2635,2,11
2319,Mohammed Salisu,gh,DF,Monaco,Ligue 1,24,1999,11.5,778,751,27,19,0,0,1,7,0,0,0,0,657,0,9
2320,Roland Sallai,hu,"MF,FW",Freiburg,Bundesliga,26,1997,20.4,588,567,17,6,5,1,73,2,9,7,1,0,416,4,32
2321,Yoann Salmier,gf,DF,Le Havre,Ligue 1,30,1992,17.4,767,679,86,25,1,2,9,59,0,0,0,0,612,2,9
2322,Salvi,es,MF,Rayo Vallecano,La Liga,32,1991,0.3,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0
2323,Lazar Samardzic,rs,MF,Udinese,it Serie A,21,2002,26.4,987,809,171,58,4,20,124,18,86,39,37,0,733,7,16
2324,Diadie Samassékou,ml,MF,Cádiz,La Liga,27,1996,1.0,47,46,1,1,0,1,0,0,0,0,0,0,45,0,0
2325,Diadie Samassékou,ml,MF,Hoffenheim,Bundesliga,27,1996,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
2326,Mama Samba Baldé,gw,"FW,MF",Lyon,Ligue 1,27,1995,6.1,135,132,3,0,2,1,5,0,0,0,0,0,88,0,7
2327,Brice Samba,fr,GK,Lens,Ligue 1,29,1994,33.0,1122,864,254,84,1,2,0,0,0,0,0,0,880,4,1
2328,Albert Sambi Lokonga,be,MF,Luton Town,Premier League,23,1999,14.5,766,694,67,28,5,11,13,8,2,1,1,0,669,5,3
2329,Junior Sambia,fr,"DF,MF",Salernitana,it Serie A,26,1996,11.5,508,419,88,8,0,1,28,75,5,1,4,0,397,1,10
2330,Fede San Emeterio,es,MF,Cádiz,La Liga,26,1997,1.7,52,50,1,1,0,0,1,0,0,0,0,0,43,1,1
2331,Antonio Sanabria,py,"FW,MF",Torino,it Serie A,27,1996,23.7,624,587,37,2,0,5,6,2,0,0,0,0,494,0,17
2332,Oihan Sancet,es,MF,Athletic Club,La Liga,23,2000,21.9,802,783,13,1,9,0,30,0,0,0,0,0,641,6,21
2333,Renato Sanches,pt,MF,Roma,it Serie A,25,1997,1.6,77,76,1,1,0,0,4,0,0,0,0,0,67,0,1
2334,Ricard Sánchez,es,DF,Granada,La Liga,23,2000,25.5,1091,839,247,17,3,6,82,226,4,1,2,0,820,5,33
2335,Alexis Sánchez,cl,"FW,MF",Inter,it Serie A,34,1988,8.5,367,335,31,6,5,6,31,0,21,10,6,0,276,1,13
2336,Antonio Sánchez,es,MF,Mallorca,La Liga,26,1997,16.1,545,511,25,5,1,2,36,10,2,1,1,0,378,9,34
2337,Davinson Sánchez,co,DF,Tottenham,Premier League,27,1996,0.9,75,73,2,1,0,0,0,1,0,0,0,0,68,0,0
2338,Juanlu Sánchez,es,DF,Sevilla,La Liga,19,2003,13.1,730,605,125,8,0,1,61,117,0,0,0,0,577,0,24
2339,Manu Sánchez,es,"DF,MF",Celta Vigo,La Liga,22,2000,19.7,866,678,186,13,0,1,57,169,4,3,1,0,656,2,38
2340,Robert Sánchez,es,GK,Chelsea,Premier League,25,1997,15.9,609,487,120,29,0,2,0,0,0,0,0,0,500,2,0
2341,Jadon Sancho,eng,"FW,MF",Manchester Utd,Premier League,23,2000,0.9,43,41,1,0,0,0,1,0,1,0,0,0,34,1,0
2342,Jadon Sancho,eng,"FW,MF",Dortmund,Bundesliga,23,2000,10.5,512,481,28,3,3,1,29,11,13,7,5,0,414,3,13
2343,Alex Sandro,br,DF,Juventus,it Serie A,32,1991,8.0,555,474,79,11,0,2,5,59,0,0,0,0,479,2,4
2344,Ibou Sané,sn,"MF,FW",Metz,Ligue 1,18,2005,1.4,46,40,6,0,0,0,4,3,1,0,1,0,37,0,2
2345,Leroy Sané,de,FW,Bayern Munich,Bundesliga,27,1996,23.7,1098,987,106,14,8,6,86,11,63,29,26,0,878,5,31
2346,Sadibou Sané,sn,DF,Metz,Ligue 1,19,2004,9.4,317,290,27,4,0,1,8,23,0,0,0,0,254,0,3
2347,Arouna Sangante,sn,DF,Le Havre,Ligue 1,21,2002,29.9,1521,1315,202,61,0,13,15,139,0,0,0,0,1233,4,29
2348,Ibrahim Sangaré,ci,MF,Nott'ham Forest,Premier League,25,1997,11.5,425,414,8,7,3,6,2,1,0,0,0,0,339,3,16
2349,Morgan Sanson,fr,MF,Nice,Ligue 1,28,1994,21.8,836,735,94,27,4,4,114,3,64,20,35,0,630,7,24
2350,Nicola Sansone,it,"FW,MF",Lecce,it Serie A,31,1991,8.5,277,253,22,6,1,5,28,0,16,8,7,0,207,2,5
2351,Baptiste Santamaria,fr,MF,Rennes,Ligue 1,28,1995,21.4,1207,1175,30,30,2,10,0,0,0,0,0,0,1055,2,14
2352,Jesús Santiago,es,MF,Getafe,La Liga,19,2004,7.3,189,184,4,3,0,1,4,0,1,0,0,0,144,1,8
2353,Andrey Santos,br,MF,Nott'ham Forest,Premier League,19,2004,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
2354,Andrey Santos,br,MF,Strasbourg,Ligue 1,19,2004,9.2,511,488,22,10,2,1,3,0,0,0,0,0,444,1,8
2355,Tiago Santos,pt,DF,Lille,Ligue 1,21,2002,26.3,1396,1129,266,58,1,9,83,208,0,0,0,0,1113,1,30
2356,Paco Sanz,es,DF,Almería,La Liga,18,2004,0.3,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0
2357,Riccardo Saponara,it,"FW,MF",Hellas Verona,it Serie A,31,1991,3.8,124,118,4,3,1,2,8,1,0,0,0,0,87,2,8
2358,Pablo Sarabia,es,"MF,FW",Wolves,Premier League,31,1992,19.4,976,837,130,34,9,7,131,7,71,37,19,10,684,9,44
2359,Amin Sarr,se,"FW,MF",Lyon,Ligue 1,22,2001,1.1,20,18,2,0,0,0,1,0,0,0,0,0,13,0,1
2360,Amin Sarr,se,"FW,MF",Wolfsburg,Bundesliga,22,2001,4.3,130,123,6,1,0,0,1,1,1,0,0,0,95,1,9
